sub,ses,task,acq,run,fd-per,fd-mean,fd-std,fd-max,fd-min,dvars-per,dvars-mean,dvars-std,dvars-max,dvars-min,std_dvars-per,std_dvars-mean,std_dvars-std,std_dvars-max,std_dvars-min
040,0000,task2,,,11.885245901639344,0.24620587367078206,0.41716684754416716,4.752667799999998,0.02125399999999984,99.59016393442623,23.40242577777778,30.945171523013837,424.810883,11.501366,9.836065573770492,0.7918077119341568,1.0470122548233325,14.373234,0.389142
016,0000,task1,,,0.819672131147541,0.05932966752674895,0.08549765077010633,0.98701109,0.009052803500000027,99.59016393442623,20.033033193415655,27.20331110999306,429.18246500000004,10.431214,4.508196721311475,0.9975397325102884,1.3545819119316804,21.371031,0.51942
016,0000,rest,,,0.0,0.04224304752885369,0.03884709763110394,0.43931095,0.002882770000000001,99.60629921259843,16.98204815019763,25.597760515720623,416.971375,11.527602000000002,1.1811023622047243,0.9426966403162059,1.4209664934996677,23.14664800000001,0.6399130000000001
016,0000,task2,,,3.6885245901639343,0.12067904039547325,0.28281722577400137,3.08166545,0.005297778,99.59016393442623,21.917723185185174,28.477499032307083,421.7908019999999,11.824885,6.147540983606557,0.999081308641975,1.2980973065328223,19.226601000000002,0.539017
017,0000,task2,,,0.819672131147541,0.07698588024691355,0.07884465021380088,0.79661145,0.0090476,99.59016393442623,16.927076139917695,26.138847868999495,416.049469,10.612117,1.2295081967213115,0.8466734732510286,1.30743606016763,20.810331,0.530806
017,0000,task1,,,0.819672131147541,0.09602078260329215,0.14000262427849194,1.97903255,0.015432930000000029,99.59016393442623,18.59312298765432,26.50446675717636,418.675507,11.418861,2.8688524590163933,0.9985440246913583,1.4234228835148222,22.484976,0.61325
017,0000,rest,,,0.3937007874015748,0.13285185027667992,0.09775742926721655,1.0146861999999999,0.013508300000000029,99.60629921259843,20.334259964426874,26.0658467137277,426.41345199999995,15.560478,1.1811023622047243,0.8631831699604745,1.1064873068682395,18.101122,0.660538
041,0000,task1,,,2.8688524590163933,0.11818664023456789,0.13849622618306526,1.1277948,0.022607349999999984,99.59016393442623,19.729896333333347,29.285820024589995,446.19696,13.293135000000001,4.508196721311475,0.9152163703703704,1.3584897226591615,20.697866,0.616632
041,0000,rest,,,3.1496062992125986,0.13698632516600784,0.11380418903475185,0.7017941,0.018172049999999988,99.60629921259843,20.862731715415034,27.231675189209984,433.30218499999995,13.740356,5.511811023622047,0.9449550869565214,1.2334294740370384,19.625957,0.622355
041,0000,task2,,,4.098360655737705,0.16750377712345674,0.32384728207030766,2.90430789,0.023176769999999968,99.59016393442623,22.035118349794253,30.691423021063997,434.701904,13.630926,4.918032786885246,0.8020210411522634,1.1170880739309792,15.822020000000002,0.49613
018,0000,task2,,,0.4098360655737705,0.09527176440329217,0.07293586186717702,0.5060737700000001,0.016539989999999994,99.59016393442623,19.88466539094651,22.778143247944723,367.887543,13.484607999999998,2.8688524590163933,1.0700910740740737,1.225803228092789,19.797826999999998,0.7256729999999999
018,0000,rest,,,0.3937007874015748,0.11990443723478263,0.06824068997646615,0.562754918,0.0306123,99.60629921259843,20.393442853754944,22.124583320392993,367.390808,15.077694000000001,1.5748031496062993,0.9922908853754946,1.076523584743833,17.876263,0.733641
018,0000,task1,,,0.0,0.12347406944732515,0.07497905088000352,0.49393515299999996,0.024809749999999985,99.59016393442623,20.041694588477366,23.678141432538506,382.811646,13.878167000000001,1.639344262295082,0.9243249053497943,1.092038164884141,17.65531,0.640062
019,0000,rest,,,0.0,0.07240210529644267,0.042962068470853786,0.45423620000000003,0.0070399999999999924,99.60629921259843,19.277436466403163,23.72719026625169,390.522278,12.374316,0.7874015748031497,1.0097646719367588,1.2428456666498113,20.455810999999997,0.648175
020,0000,rest,,,2.3622047244094486,0.16189384444664023,0.11747499433619184,0.78072131,0.019048499999999968,99.60629921259843,22.932442739130444,25.58117296583459,409.898499,12.970924,6.692913385826771,1.0611308458498028,1.1836930057847421,18.966839,0.600191
020,0000,task1,,,32.78688524590164,0.45898556192592593,0.36544289525388574,2.1153789000000005,0.057679649999999937,99.59016393442623,38.26441429218105,30.19401515086107,419.850616,17.151567,12.704918032786885,1.0650835843621398,0.8404453772164591,11.686472,0.477411
021,0000,task1,,,0.0,0.07378338888271609,0.04788349183208996,0.324378335,0.013701699999999995,99.59016393442623,20.945775049382718,30.26055232639316,484.54052699999994,13.242685,1.2295081967213115,1.0597489999999994,1.5310290226160739,24.51527,0.6700119999999999
021,0000,task2,,,0.0,0.09688838188065836,0.06441409062957947,0.48770955,0.013799809999999977,99.59016393442623,20.39011383539095,29.3442097695075,469.90573099999995,12.427377000000005,1.2295081967213115,0.9575852263374485,1.378098378465938,22.068282999999997,0.58363
021,0000,rest,,,0.3937007874015748,0.1069560287438735,0.05329445317699348,0.53997429,0.016952750000000006,99.60629921259843,21.313611249011828,26.794119904937876,439.438538,16.263359,1.1811023622047243,1.0482797786561266,1.3178307722007212,21.613160999999998,0.79989
